,employer,record_date,comment,overall_result,interesting_tasks,equality,communication,working_conditions,supervisor_behavior,dealing_w_older_colleagues,colleague_cohesion,environmental_social awareness,salary_benefits,career_training,work_life_balance,image,overall_number
16,deutsche-bank,Januar 2022,"Besser zu einem wertschätzenden Unternehmen - HR schikaniert Menschen los, keiner stoppt sie",not_recommended,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0
17,deutsche-telekom,April 2022,grottenschlecht,not_recommended,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,,2.0,0
18,rwe,Juli 2019,Nette Kollegen/Innen und tolles Arbeitsklima,recommended,4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,1
19,deutsche-bank,September 2020,Top Job / Top Arbeitgeber,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,1
20,porsche-gruppe,Dezember 2021,Du bist ersetzbar und alle lassen dich das wissen.,recommended,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,1
21,linde,Dezember 2020,Ingenieur,not_recommended,1.0,2.0,2.0,4.0,2.0,5.0,3.0,2.0,5.0,2.0,5.0,4.0,0
22,henkel-aa,März 2021,Ich gehe gerne zu Henkel,recommended,,,,,,,,,,,,,1
23,covestro-deutschland3,Januar 2020,"Eher Flop, Missmanagement in aller Richtungen",not_recommended,3.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,,1.0,4.0,0
24,deutsche-boerse,Mai 2018,Aktuelle Themen und stetige Weiterbildung,recommended,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
25,pumagroup,März 2020,Super Arbeitgeber und gute Unterstützung während der Corona Krise,recommended,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,1
26,mtuaeroengines,März 2022,Im gewerblichen Bereich nicht zu empfehlen,not_recommended,4.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,,1.0,0
27,vonovia-se,Oktober 2021,Es kann vom Unternehmen deutlich mehr erwartet werden.,not_recommended,1.0,4.0,3.0,2.0,3.0,4.0,3.0,4.0,1.0,1.0,4.0,2.0,0
28,deutsche-boerse,Juli 2018,Die Deutsche Börse hat sich als Arbeitgeber in den letzten Jahren verschlechtert,recommended,4.0,3.0,3.0,4.0,3.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,1
29,henkel-aa,September 2020,Top Arbeitgeber mit vielen Freiheiten,recommended,5.0,5.0,5.0,5.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,1
30,bmwgroup,April 2022,Guter Arbeitgeber und top Gehalt. Übernahme aus Zeitarbeit teilweise sehr schwierig,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,1
31,qiagen,Februar 2019,Ehemals toller Arbeitgeber. Personalabteilung geht unter neuer Bereichsleitung den Bach runter.,not_recommended,1.0,1.0,1.0,1.0,3.0,5.0,3.0,2.0,1.0,1.0,4.0,1.0,0
32,fresenius-medical-care,März 2020,A great experience to start my working-life in Germany,recommended,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,3.0,5.0,1
33,merckaa,April 2022,Klasse Arbeitgeber für jede Lebenslage mit und ohne Familie,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,1
34,qiagen,Oktober 2017,Gibt Einsteigern eine super Chance,recommended,3.0,4.0,3.0,5.0,4.0,4.0,5.0,3.0,3.0,4.0,5.0,4.0,1
35,porsche-gruppe,März 2021,"Jobs werden schon vor der Veröffentlichung, unter vorgehaltener Hand, vergeben !!!",not_recommended,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,3.0,0
36,hannover-rueckversicherung,August 2019,So macht Arbeiten Spass und nette Kollegen,recommended,5.0,4.0,5.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,5.0,3.0,1
37,fresenius-medical-care,März 2021,Sehr gutes Arbeitsverhältnis mit toller Betreuung,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
38,porsche-gruppe,Oktober 2021,Grausames Klima und schreckliche Unternehmenskultur,not_recommended,1.0,3.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,3.0,0
39,eon,Januar 2022,Referendarin in der Rechtsabteilung,recommended,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,1
40,volkswagen,September 2021,Ist ok,recommended,,2.0,4.0,4.0,3.0,5.0,3.0,3.0,4.0,4.0,,3.0,1
41,vonovia-se,November 2021,Guter Arbeitgeber mit hohem Anspruch,recommended,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,2.0,4.0,1
42,continental-gruppe,Mai 2022,Freie Zeiteinteilung und angenehme Atmosphäre,recommended,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,1
43,deutsche-post,Mai 2022,"Unkomplizierter Ablauf Online beworben, schnelle Rückantwort bekommen mit Bewerbertermin.Noch keine 10 min gedauert",recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
44,deutsche-boerse,Juli 2019,spannend aber in Gefahr,recommended,5.0,5.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,5.0,1
45,continental-gruppe,Februar 2022,Studium mit vertiefter Praxis bei Continental Automotive GmbH an der OTH Regensburg,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,1
46,pumagroup,Mai 2020,"Beste Firma, familienfreundlich und Lösungsorientert",recommended,4.0,3.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,1
47,sartorius,Dezember 2021,"Eine breit aufgestellte Ausbildung mit vielen Möglichkeiten, Erfahrungen zu sammeln.",recommended,,,,,,,,,,,,,1
48,infineon-technologies,Dezember 2021,bin zufrieden,recommended,4.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,2.0,2.0,4.0,1
49,basf-se,Oktober 2021,Führungskräfte müssen noch vieeel lernen,recommended,4.0,4.0,4.0,5.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,1
50,bmwgroup,Januar 2022,"Im Allgemeinen sehr zu empfehlen, da sehr innovative und interessante Aufgaben zu erwarten sind.",recommended,5.0,5.0,4.0,,4.0,5.0,4.0,5.0,4.0,2.0,4.0,5.0,1
51,basf-se,Dezember 2021,Schlechte Konditionen & Atmosphäre bei unangemessenen Anforderungen,not_recommended,1.0,1.0,1.0,1.0,3.0,,3.0,2.0,4.0,4.0,3.0,2.0,0
52,henkel-aa,Oktober 2020,Mitarbeiter in der Produktion im Werk Viersen,recommended,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,1
53,rwe,Dezember 2021,Handwerker im Instandhaltungsbereich,recommended,2.0,3.0,2.0,2.0,5.0,5.0,5.0,4.0,1.0,4.0,1.0,3.0,1
54,bayer,Oktober 2021,Top Arbeitsklima,recommended,5.0,3.0,3.0,5.0,4.0,5.0,4.0,3.0,5.0,5.0,3.0,4.0,1
55,covestro-deutschland3,Juli 2019,Guter Arbeitgeber aber noch mit Luft nach oben,recommended,4.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,1
56,covestro-deutschland3,Januar 2020,"Gender Washing. Lousy and harsh culture; especially for gay, lesbian and trans (LGBT) people",not_recommended,1.0,1.0,1.0,3.0,1.0,3.0,3.0,4.0,3.0,4.0,1.0,1.0,0
57,zalando,Januar 2022,Toller Arbeitgeber,recommended,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,1
58,bayer,April 2022,Die Familie steht an erster Stelle,recommended,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,1
59,bmwgroup,April 2022,"Groß, aber anpassungsfähig und fast schon familiär",recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
60,siemens,April 2022,Beste Firma im Landkreis Marburg-Biedenkopf :-),recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
61,deutsche-telekom,Februar 2022,In Ordnung,recommended,4.0,3.0,5.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,,3.0,1
62,bmwgroup,Januar 2022,"Grundsätzlich kennt jeder die große Welt von BMW und das hat einen guten Grund, aber es ist nicht alles Gold was glänzt.",recommended,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1
63,fresenius-medical-care,August 2019,Schichtarbeit in der produktion,recommended,1.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,5.0,1.0,4.0,3.0,1
64,muenchener-rueckversicherung,Februar 2018,Property Underwriting,recommended,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
65,basf-se,Januar 2022,Bachelorarbeit,recommended,4.0,5.0,4.0,5.0,5.0,4.0,2.0,5.0,5.0,5.0,3.0,4.0,1
66,bayer,Oktober 2021,"Man lernt nicht dazu, vergiftetes Arbeitsumfeld durch schlechtes Management",not_recommended,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
67,eon,Januar 2021,Dienstleister für den E.ON Konzern für Entgeltabrechnung und Vertragsmanagement,not_recommended,3.0,5.0,4.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,0
68,pumagroup,Mai 2022,Sehr gutes und lockeres Arbeitsklima. Innovativ und jung mit kleineren Makeln,recommended,3.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,5.0,1
69,symrise,April 2022,Zufriedenstellend,recommended,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,1
70,bmwgroup,Januar 2022,"Hoher Arbeitsdruck, herausfordernde Aufgabe, Abwechslungsreiche Tätigkeit, Teamwork orientier, dafür aber gut bezahlt",recommended,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,1
71,continental-gruppe,April 2022,"Toller Arbeitgeber! Schön, wenn man gerne in die Arbeit geht.",recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
72,deutsche-post,April 2022,Mittelmäßig,not_recommended,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,0
73,bmwgroup,April 2022,Top Arbeitgeber,recommended,5.0,5.0,4.0,5.0,4.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,1
74,henkel-aa,November 2021,Ein tolles Unternehmen mit einer riesen Schwachstelle,not_recommended,5.0,5.0,1.0,5.0,3.0,5.0,3.0,3.0,5.0,4.0,4.0,1.0,0
75,allianz118,April 2022,"Gute Firma, (neue) Führungskräfte und Umgang mit Mitarbeiter schlecht.",not_recommended,4.0,4.0,3.0,4.0,1.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,0
76,hellofresh,Juni 2020,Bester Arbeitgeber Berlins,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
77,volkswagen,April 2022,Respektvoller Umgang,recommended,3.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,3.0,2.0,4.0,1
78,merckaa,April 2020,Ich arbeite gerne bei Merck,recommended,3.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,1
79,covestro-deutschland3,Mai 2020,Top Arbeitgeber,recommended,4.0,4.0,,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,1
80,continental-gruppe,April 2022,Lasst die Finger davon!!!!,not_recommended,1.0,,1.0,1.0,1.0,,1.0,,2.0,1.0,1.0,1.0,0
81,covestro-deutschland3,Juli 2021,Passt besseres gibt es nicht,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
82,fresenius-medical-care,Februar 2019,Echte Macher - Bitte draußen bleiben!,not_recommended,4.0,,2.0,3.0,2.0,,3.0,,2.0,3.0,3.0,4.0,0
83,delivery-hero,April 2020,Hiring and Firing Policy,not_recommended,2.0,3.0,3.0,2.0,1.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,0
84,airbus,Februar 2022,Das haben wir schon immer so gemacht...............,not_recommended,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,2.0,0
85,symrise,Dezember 2021,Symrise 2021,recommended,5.0,4.0,4.0,5.0,3.0,5.0,3.0,5.0,5.0,4.0,4.0,5.0,1
86,hannover-rueckversicherung,Juli 2018,Spannend für Mathematiker,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,1
87,airbus,April 2022,Traum Arbeitsplatz,recommended,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,1
88,linde,April 2022,Mitarbeiter sind nur eine Nummer und müssen weit über das Normale hinaus arbeiten.,not_recommended,1.0,5.0,1.0,3.0,2.0,5.0,5.0,2.0,1.0,3.0,1.0,2.0,0
89,deutsche-boerse,Juni 2020,"Super Arbeitgeber, kann ich jedem nur empfehlen. Manchmal könnte man über Neuigkeiten besser informiert werden.",recommended,5.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,1
90,airbus,Februar 2021,Feuerwehr,recommended,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,1
91,daimler-truck3,Februar 2021,"Super Arbeitgeber, aber wie immer abhängig vom Vorgesetzen",recommended,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,1
92,henkel-aa,Januar 2022,Super Arbeitgeber mit guten Benefits,recommended,5.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,,5.0,1
93,volkswagen,Dezember 2021,Nachhaltigkeit - Strategie und Programme,recommended,4.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,1
94,covestro-deutschland3,August 2020,"Ein Unternehmen, dass sich echt sehen lassen kann",recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,1
95,symrise,Mai 2019,Schchlechtes Arbeitsklima und Bezahlung,not_recommended,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,0
96,adidas,Juli 2020,Good,recommended,5.0,5.0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,1
97,deutsche-bank,Mai 2022,Arbeitgeber nicht weiter zu empfehlen,not_recommended,,,,,,,,,,,,,0
98,eon,April 2021,"war mal ein guter Arbeitgeber, seit 2011 nur noch im Ausnahmezustand",recommended,4.0,5.0,3.0,5.0,3.0,1.0,3.0,1.0,5.0,3.0,2.0,4.0,1
99,vonovia-se,Oktober 2021,Buchhaltung,recommended,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,1
100,infineon-technologies,Dezember 2021,"Sehr spannende, herausfordernde Tätigkeit, die wertgeschätzt wird",recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
101,infineon-technologies,Februar 2022,Der Beste Job meines Lebens.,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
102,allianz118,Juli 2017,Praktikum im COO Office nicht zu empfehlen,not_recommended,4.0,1.0,4.0,4.0,1.0,5.0,3.0,2.0,2.0,2.0,3.0,2.0,0
103,qiagen,Mai 2019,Schlechter geht's wirklich nicht...,not_recommended,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
104,siemens,April 2022,Cham wird Amberg Standort zugeordnet. Das Klima wurde immer schlimmer und es wurden Arbeitsplätze abgebaut.,not_recommended,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,4.0,0
105,deutsche-telekom,Februar 2022,Tolle Firma,recommended,5.0,5.0,,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,1
106,sap,Februar 2022,Außenwirkung - Innen?,not_recommended,3.0,2.0,3.0,3.0,1.0,4.0,4.0,5.0,3.0,3.0,2.0,,0
107,eon,Juli 2021,E.ON,not_recommended,5.0,3.0,3.0,5.0,3.0,5.0,5.0,5.0,4.0,2.0,5.0,5.0,0
108,fresenius-medical-care,Juni 2018,"Die Firma ist eine schöne Firma,da man faires Geld bekommt und die Mitarbeiter nett sind.",recommended,4.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,1
109,bayer,August 2021,"Wenn man hier seit 40 Jahren arbeitet super, dazu weiß sein und bitte aus Berlin oder Brandenburg",not_recommended,3.0,1.0,1.0,3.0,2.0,4.0,1.0,3.0,4.0,1.0,3.0,1.0,0
110,fresenius-medical-care,September 2018,"von Anfang an ""extern""...",not_recommended,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,0
111,basf-se,Mai 2022,Unfaire Bezahlung für viel Arbeit und Druck,not_recommended,,,2.0,,,,2.0,,1.0,,2.0,,0
112,muenchener-rueckversicherung,August 2019,"Passt schon, aber etwas unterkühlte Atmosphäre",recommended,2.0,5.0,3.0,4.0,2.0,2.0,2.0,4.0,4.0,1.0,5.0,4.0,1
113,rwe,Oktober 2021,RWE - Consequence free,not_recommended,5.0,2.0,5.0,1.0,4.0,2.0,4.0,4.0,3.0,3.0,2.0,3.0,0
114,pumagroup,Juni 2018,"Es wird viel geboten, gute Unternehmensgröße!",recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
115,linde,Juli 2021,Top Konditionen in super Umfeld,recommended,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,1
116,merckaa,Juni 2020,Ausgezeichneter Arbeitgeber,recommended,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
117,airbus,September 2021,Bei der EADS in Ottobrunn hat 3s noch Spaß gemacht. Da hat sich jeder mit dem Unternehmen identifiziert !,recommended,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,1
118,siemens,April 2022,Von USA geführte Behörde,recommended,3.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,2.0,5.0,3.0,1
119,sap,April 2022,Toller Arbeitgeber,recommended,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,1
120,deutsche-bank,November 2021,SUPER ERFAHRUNG :-),recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
121,mtuaeroengines,März 2022,Auf einem sehr guten Weg,recommended,5.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,4.0,4.0,3.0,5.0,1
122,zalando,September 2021,alles gut - es gibt deutlich schlechtere Firmen,recommended,4.0,4.0,4.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,1
123,hannover-rueckversicherung,September 2019,Tolles Arbeitsklima und gute Bezahlung!,recommended,4.0,4.0,3.0,4.0,5.0,5.0,4.0,2.0,5.0,4.0,5.0,4.0,1
124,symrise,Juli 2019,Tolle Eingliederung in das Unternehmen!,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
125,sartorius,Dezember 2021,"Gut: 3,8 von 5 Sternen",recommended,4.0,4.0,4.0,3.0,4.0,3.0,5.0,2.0,4.0,4.0,4.0,4.0,1
126,deutsche-post,Mai 2022,Druck stress nicht leistungs gerechte Bezahlung,not_recommended,5.0,4.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,2.0,4.0,0
127,zalando,März 2022,"Soweit okay, aber nicht wirklich familienfreundlich",not_recommended,3.0,5.0,3.0,5.0,5.0,4.0,5.0,1.0,3.0,3.0,2.0,3.0,0
128,hannover-rueckversicherung,Juni 2018,Top Arbeitgeber,recommended,4.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0,5.0,5.0,1
129,airbus,Februar 2021,Toller Arbeitgeber!,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,1
130,rwe,August 2020,Top Umfeld,recommended,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,1
131,deutsche-telekom,April 2022,Familienfreundlicher Arbeitgeber,recommended,5.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,3.0,4.0,,4.0,1
132,sap,April 2022,Eine wunderbare Arbeitgeberin die sich nachhaltig um ihre MitarbeiterInnen kümmert.,recommended,4.0,4.0,4.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,5.0,1
133,pumagroup,Juni 2018,Senior Accountant,recommended,3.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,1
134,merckaa,November 2020,Nach 33 Berufsjahren: Die Merck KgaA ist der beste Arbeitgeber,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
135,deutsche-boerse,April 2021,Werkstudent,recommended,2.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,1
136,hellofresh,August 2020,Coronavirus,not_recommended,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,0
137,muenchener-rueckversicherung,Juni 2019,Schlechter Umgang mit Personal,not_recommended,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
138,zalando,Juli 2021,"+ Sehr spannende Aufgaben,...",recommended,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,2.0,3.0,3.0,3.0,1
139,pumagroup,Januar 2021,Angenehme Unternehmenskultur und spannendes Umfeld,recommended,5.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,,5.0,4.0,1
140,sartorius,Juni 2021,Licht ... und viel Schatten,not_recommended,2.0,4.0,2.0,5.0,1.0,3.0,4.0,,4.0,3.0,1.0,3.0,0
141,volkswagen,April 2022,Jeder ist nur eine Nummer und austauschbar,not_recommended,3.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,5.0,1.0,1.0,3.0,0
142,pumagroup,Juli 2021,"Gut für den Einstieg, langfristig fehlt die Perspektive und in vielen Bereichen fehlt eine Strategie",recommended,5.0,4.0,3.0,3.0,4.0,5.0,4.0,2.0,,2.0,5.0,4.0,1
143,deutsche-telekom,Mai 2022,"Zum starten in die Berufswelt gut, danach im Kundenservice als Berater mit Ambitionen nicht mehr.",not_recommended,5.0,3.0,4.0,4.0,3.0,4.0,4.0,2.0,2.0,5.0,3.0,4.0,0
144,allianz118,Juli 2017,Grenzwertig,not_recommended,5.0,4.0,3.0,2.0,1.0,3.0,2.0,4.0,4.0,4.0,2.0,4.0,0
145,bayer,März 2022,Mehr Schein als Sein,not_recommended,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,3.0,2.0,0
146,sap,April 2022,Best place to work,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,1
147,sartorius,Juli 2021,Verpeilt,not_recommended,4.0,5.0,3.0,2.0,3.0,1.0,2.0,5.0,4.0,4.0,4.0,4.0,0
148,infineon-technologies,Dezember 2021,"Sehr angenesses Arbeitsklimma, sehr nettes Arbeitsumfeld, sehr gute Bezahlung",recommended,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,4.0,1
149,deutsche-bank,Februar 2022,"Gut: 3,2 von 5 Sternen",recommended,3.0,5.0,5.0,5.0,1.0,1.0,5.0,2.0,4.0,1.0,4.0,2.0,1
150,bmwgroup,April 2022,Top Arbeitgeber,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
151,qiagen,Mai 2019,"Wertekultur nur auf dem Papier
Hohe Fluktuation im Bereich Personal",not_recommended,3.0,3.0,2.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,0
