,employer,record_date,comment,overall_result,interesting_tasks,equality,communication,working_conditions,supervisor_behavior,dealing_w_older_colleagues,colleague_cohesion,environmental_social awareness,salary_benefits,career_training,work_life_balance,image
51,adidas,Oktober 2021,Own the game - vergesst dabei nicht die Menschen,recommended,5.0,5.0,3.0,2.0,5.0,5.0,3.0,2.0,4.0,3.0,4.0,4.0
52,adidas,Oktober 2021,"Sehr anstrengend, wenig geld",not_recommended,4.0,3.0,3.0,4.0,3.0,5.0,4.0,4.0,3.0,3.0,1.0,2.0
53,adidas,Oktober 2021,getting worse and worse each day...,not_recommended,2.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,4.0
54,adidas,September 2021,"Außen hui, innen pfui trifft den Nagel auf den Kopf",not_recommended,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
55,adidas,August 2021,Adidas ist ein guter Arbeitergeber und ist weiter zu empfehlen,recommended,2.0,3.0,3.0,3.0,4.0,3.0,4.0,1.0,5.0,2.0,2.0,2.0
56,adidas,Juli 2021,Super Team mit guten Vorgesetzten!,recommended,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0
57,adidas,Juli 2021,Danke für diese Chance,recommended,5.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0
58,adidas,Juli 2021,Es war einmal…,not_recommended,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0
59,adidas,Juli 2021,"Außen hui, innen …",not_recommended,2.0,2.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0
60,adidas,Juli 2021,Mehr Schein als Sein,not_recommended,1.0,2.0,2.0,5.0,2.0,1.0,4.0,2.0,1.0,1.0,5.0,5.0
61,adidas,Juli 2021,Miserable Führungskultur,not_recommended,2.0,2.0,1.0,3.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,3.0
62,adidas,Juli 2021,Nur Show und kein Sinn für Mitarbeite*rinnen,not_recommended,3.0,3.0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,4.0
63,adidas,Mai 2021,Change Project - Lauft so schnell ihr könnt,not_recommended,,,1.0,,1.0,,,,,,,
64,adidas,April 2021,"Toller Arbeitgeber mit vielen Möglichkeiten, es wird aber auch viel gefordert",recommended,4.0,5.0,5.0,4.0,3.0,2.0,3.0,4.0,4.0,5.0,3.0,5.0
65,adidas,April 2021,Gut mit Potenzial nach oben,recommended,4.0,3.0,4.0,2.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,5.0
66,adidas,April 2021,Flexible Arbeitszeiten aber keine Rücksicht auf Mütter,recommended,5.0,4.0,5.0,5.0,5.0,3.0,3.0,4.0,4.0,5.0,3.0,5.0
67,adidas,März 2021,Bewertung adidas AG,not_recommended,4.0,1.0,2.0,1.0,5.0,1.0,4.0,1.0,3.0,3.0,2.0,5.0
68,adidas,November 2020,Im Großen und Ganzen bin ich sehr zufrieden,not_recommended,2.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,3.0
69,adidas,Oktober 2020,Mehr Schein als Sein,not_recommended,2.0,2.0,3.0,2.0,3.0,1.0,4.0,3.0,2.0,2.0,3.0,4.0
70,adidas,Oktober 2020,Mittlerweile leider mehr Schein als Sein,not_recommended,2.0,2.0,2.0,4.0,1.0,1.0,2.0,4.0,3.0,2.0,2.0,2.0
71,adidas,September 2020,"Mitarbeiter, Know-How und Qualität scheinen hier nur noch eine sehr geringe Rolle zu spielen.",not_recommended,2.0,1.0,2.0,4.0,1.0,1.0,3.0,4.0,3.0,3.0,2.0,1.0
72,adidas,September 2020,top,recommended,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,,4.0,5.0,4.0
73,adidas,September 2020,"Ein guter erster Einblick in die Berufswelt, durch den man seine eigenen Interessen aber auch Schwächen kennenlernt.",recommended,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,,4.0,4.0,5.0
74,adidas,August 2020,gut,recommended,4.0,4.0,2.0,4.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,2.0
75,adidas,August 2020,exceeded my expectations regarding my position in the team but overall suffered from corona consequences,recommended,5.0,3.0,2.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0
76,adidas,August 2020,Trotz Corona top,recommended,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,2.0,5.0,3.0,5.0
77,adidas,August 2020,"i enjoyed working for adidas, everything was set up when i started and i was warmly greeted by the team",recommended,3.0,5.0,2.0,2.0,3.0,5.0,4.0,5.0,4.0,2.0,5.0,2.0
78,adidas,August 2020,The internship was below my level of expertise. It was 'sold' to me by telling about very interesting tasks,recommended,2.0,3.0,3.0,1.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,1.0
79,adidas,August 2020,"great learning opportunities, great team, great work place, but i dont identify fully with values",recommended,4.0,3.0,4.0,4.0,5.0,2.0,5.0,1.0,4.0,5.0,4.0,5.0
80,adidas,Juli 2020,Absolut nicht mehr das was es Mal war!,not_recommended,3.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0
81,adidas,Juli 2020,Das Praktikum in meinem Team würde ich zu hundert Prozent weiterempfehlen. Das Team ist offen und erklärt alles gut.,recommended,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0
82,adidas,Juli 2020,satisfied,recommended,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0
83,adidas,Juli 2020,even more interesting than i expected,recommended,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0
84,adidas,Juli 2020,Radikaler Profitfokus verhindert das Entstehen eines Deutschen Industrie Role-Models,not_recommended,5.0,2.0,2.0,4.0,1.0,1.0,4.0,4.0,3.0,1.0,1.0,2.0
85,adidas,Juli 2020,Good,recommended,5.0,5.0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0
86,adidas,Juli 2020,"Despite Covid, decent opportunities for getting in contact. Excellent virtual onboarding, great efforts of the team",recommended,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,1.0,4.0,5.0,4.0
87,adidas,Juli 2020,amazing!,recommended,5.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0
88,adidas,Juli 2020,"Overall it was a very good internship, the culture's really interesting. Due to Covid-19 I was not able to learn as much",recommended,4.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0
89,adidas,Juli 2020,It was the best internship ever.,recommended,5.0,5.0,2.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0
90,airbus,April 2022,Viel Unterstützung als Alleinerziehender,recommended,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0
91,airbus,April 2022,Sehr guter Arbeitgeber,recommended,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0
92,airbus,April 2022,"Prinzipientreuer Großkonzern, aber da, wenn es darauf ankommt.",recommended,5.0,4.0,3.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0
93,airbus,April 2022,Airbus ist Airbus und Airbus Manching ist Airbus Manching...,recommended,3.0,3.0,3.0,3.0,2.0,4.0,5.0,3.0,3.0,3.0,4.0,3.0
94,airbus,April 2022,Wer hier mit den Händen arbeitet hat es schwer…sich zu entwickeln!!,not_recommended,2.0,3.0,1.0,2.0,1.0,3.0,4.0,1.0,3.0,1.0,2.0,4.0
95,airbus,April 2022,Traum Arbeitsplatz,recommended,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0
96,airbus,März 2022,Unternehmer mit riesiger Vielfalt,recommended,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0
97,airbus,März 2022,Vielfältige Möglichkeiten,recommended,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0
98,airbus,März 2022,Hervorragender Arbeitgeber in fast allen Punkten,recommended,5.0,5.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0
99,airbus,Februar 2022,Das haben wir schon immer so gemacht...............,not_recommended,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,2.0
100,airbus,Februar 2022,Bin zufrieden aber es geht auch besser...,recommended,5.0,5.0,4.0,5.0,3.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0
101,airbus,Februar 2022,Beruf in der Produktion,recommended,3.0,4.0,2.0,4.0,2.0,3.0,5.0,3.0,5.0,3.0,3.0,4.0
102,airbus,Januar 2022,"Traumjob, wenn Netzwerken Dein Fall ist",recommended,4.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,5.0,4.0,5.0,5.0
103,airbus,Januar 2022,Na ja,not_recommended,2.0,3.0,1.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0
104,airbus,Januar 2022,Bester Arbeitgeber meines Lebens,recommended,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
105,airbus,Januar 2022,Top Arbeitgeber mit super Produkten,recommended,5.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,5.0,3.0,3.0,5.0
106,airbus,Januar 2022,"Strikte Konzernstruktur mit Chancen, diese zu durchbrechen…bei richtiger Abteilung und Teamleitung",recommended,4.0,4.0,3.0,3.0,4.0,5.0,4.0,2.0,5.0,4.0,4.0,3.0
107,airbus,Januar 2022,"Toleranter, bunter, internationaler AG mit hochinteressanten Aufgaben",recommended,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0
108,airbus,Januar 2022,"Gute Arbeit, gutes Geld!",recommended,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0
109,airbus,Januar 2022,Tolles Unternehmen mit vielseitigen Entwicklungsmöglichkeiten // Internationales Umfeld // Ausgezeichnete Benefits //,recommended,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,3.0
110,airbus,Dezember 2021,"Furchtbares Management, schlechte Organisation",not_recommended,3.0,1.0,3.0,4.0,4.0,4.0,3.0,1.0,5.0,,5.0,3.0
111,airbus,Dezember 2021,kurz,recommended,5.0,1.0,5.0,3.0,1.0,5.0,1.0,2.0,,4.0,1.0,1.0
112,airbus,Dezember 2021,Schwierige Zeiten,not_recommended,2.0,4.0,1.0,1.0,2.0,,3.0,2.0,2.0,1.0,1.0,1.0
113,airbus,Dezember 2021,Sehr hilfreich bei meiner Entwicklung,recommended,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0
114,airbus,Dezember 2021,Willkommen in der IT-Steinzeit - 15 Jahre in der Zeit zurückgehen. (Airbus DS Bremen),not_recommended,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0
115,airbus,Dezember 2021,Es war gut und hat mir viel weitergeholfen mich fort zu bilden,not_recommended,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0
116,airbus,Dezember 2021,"Durchaus positiv, einige störenden Sachen",not_recommended,3.0,3.0,3.0,3.0,5.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0
117,airbus,Dezember 2021,Qualität des Praktikum hat duch fehlende Führungskompetenzen gelitten,not_recommended,3.0,3.0,2.0,4.0,1.0,3.0,2.0,4.0,4.0,1.0,3.0,2.0
118,airbus,Dezember 2021,Viele Eindrücke von unterschiedlichen Themengebieten.,recommended,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0
119,airbus,Dezember 2021,Sehr gut,recommended,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0
120,airbus,November 2021,Systemingenieur,not_recommended,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0
121,airbus,November 2021,Customer Relationship Manager,not_recommended,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,3.0
122,airbus,November 2021,"Nicht alles ist Gold, was glänzt.",recommended,4.0,3.0,2.0,4.0,3.0,5.0,3.0,4.0,4.0,2.0,3.0,5.0
123,airbus,November 2021,"Je nach Abteilung zwischen 1 und 5 Sterne. Gebäudeverwaltung Baumanagement, Instandhaltung und FM funktioniert nicht gut",not_recommended,5.0,2.0,1.0,1.0,1.0,4.0,5.0,1.0,3.0,1.0,3.0,1.0
124,airbus,November 2021,Toller Arbeitgeber mit etwas Verbesserungspotential,recommended,4.0,5.0,3.0,3.0,5.0,4.0,3.0,5.0,3.0,4.0,4.0,4.0
125,airbus,November 2021,Internationales Unternehmen,recommended,,,,,,,,,,,,
126,airbus,November 2021,Großkonzern mit viel Verbesserungspotenzial,not_recommended,4.0,3.0,4.0,4.0,2.0,5.0,4.0,3.0,4.0,2.0,4.0,4.0
127,airbus,Oktober 2021,"Alles in allem ein guter Betrieb die Ausbildung ist zwar ausbaufähig, allerdings jetzt nicht schlecht",recommended,,,,,,,,,,,,
128,airbus,Oktober 2021,"Höhen und Tiefen, sehr projektabhängig",recommended,3.0,2.0,3.0,5.0,2.0,4.0,5.0,4.0,4.0,2.0,3.0,3.0
129,airbus,Oktober 2021,super zufrieden,recommended,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0
130,airbus,Oktober 2021,Hervorragend!,recommended,5.0,5.0,3.0,5.0,4.0,5.0,3.0,4.0,5.0,5.0,4.0,5.0
131,airbus,September 2021,Objektive Bewertung,recommended,2.0,5.0,1.0,2.0,4.0,4.0,4.0,2.0,3.0,3.0,5.0,5.0
132,airbus,September 2021,Schrecklich. Mehr Schein als Sein,not_recommended,1.0,1.0,1.0,2.0,1.0,4.0,3.0,1.0,5.0,1.0,4.0,4.0
133,airbus,September 2021,Guter AG mit Verbesserungspotenzial,recommended,3.0,2.0,4.0,5.0,3.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0
134,airbus,September 2021,"OK, geht aber besser",recommended,2.0,5.0,4.0,4.0,2.0,4.0,4.0,5.0,4.0,3.0,5.0,3.0
135,airbus,September 2021,Bei der EADS in Ottobrunn hat 3s noch Spaß gemacht. Da hat sich jeder mit dem Unternehmen identifiziert !,recommended,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0
136,airbus,August 2021,Ambivalenter Arbeitgeber,not_recommended,2.0,4.0,1.0,2.0,3.0,4.0,4.0,1.0,5.0,1.0,3.0,4.0
137,airbus,Juli 2021,"Starre Struktur, meistens zu viel Arbeit (überfordern und Druck) vieler Mitarbeiter",recommended,3.0,2.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0
138,airbus,Juli 2021,Es kommt auf den Bereich an...,not_recommended,2.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0
139,airbus,Juli 2021,Airbus naja,not_recommended,3.0,4.0,1.0,4.0,1.0,4.0,3.0,3.0,4.0,1.0,4.0,5.0
140,airbus,Juli 2021,Die Firma mit Zukunft,recommended,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0
141,airbus,Juli 2021,Der Schein trügt,not_recommended,4.0,3.0,2.0,2.0,1.0,3.0,3.0,1.0,4.0,3.0,3.0,3.0
142,airbus,Juni 2021,Ein Arbeitgeber mit opportunistischer Führung,not_recommended,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
143,airbus,Mai 2021,Als Leiharbeiter nix wert,recommended,2.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0
144,airbus,Mai 2021,"Veraltete Management-Kultur, scheinheiliges Verhalten gegenüber Mitarbeitern, nicht zu empfehlen",not_recommended,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0
145,airbus,April 2021,Arbeitgeber mit Ecken und Kanten,not_recommended,4.0,4.0,3.0,1.0,2.0,4.0,4.0,3.0,4.0,1.0,2.0,2.0
146,airbus,April 2021,Bester Ausbilder in und um Hamburg? Ja!,recommended,,,,,,,,,,,,
147,airbus,April 2021,Data Analyst,recommended,5.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0
148,airbus,April 2021,Arbeitgeber ist sehr famiienfreundlich,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0
149,airbus,April 2021,arbeiten bei einem der sozialsten Arbeitgeber Deutschlands ! (Airbus),recommended,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0
150,airbus,April 2021,Sehr guter Arbeitgeber der sich seiner sozialen Verantwortung bewusst ist,recommended,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
151,airbus,April 2021,Externen Mitarbeitern Arbeitnehmerüberlassung nahezulegen ist inakzetabel!,not_recommended,4.0,5.0,1.0,2.0,1.0,5.0,1.0,4.0,4.0,3.0,1.0,3.0
152,airbus,April 2021,Processmanager,recommended,3.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,4.0,2.0,3.0,4.0
153,airbus,März 2021,Mehr schlecht als recht..,not_recommended,2.0,4.0,2.0,2.0,2.0,4.0,3.0,2.0,3.0,1.0,2.0,3.0
154,airbus,März 2021,Krisensicherer Job bei guter Bezahlung,recommended,3.0,4.0,3.0,4.0,3.0,5.0,4.0,3.0,5.0,4.0,5.0,5.0
155,airbus,März 2021,Top Arbeitgeber in der Region,recommended,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0
156,airbus,März 2021,Gute Bezahlung bei mittleren,not_recommended,4.0,5.0,2.0,3.0,2.0,5.0,4.0,2.0,5.0,4.0,5.0,4.0
157,airbus,März 2021,Dual student of logistics management,recommended,,,,,,,,,,,,
158,airbus,März 2021,Ausrüstungsmechaniker,not_recommended,4.0,4.0,2.0,2.0,1.0,5.0,2.0,2.0,4.0,3.0,4.0,3.0
159,airbus,Februar 2021,Feuerwehr,recommended,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0
160,airbus,Februar 2021,Tha8c4,recommended,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0
161,airbus,Februar 2021,Toller Arbeitsplatz,recommended,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0
