,employer,record_date,comment,overall_result,interesting_tasks,equality,communication,working_conditions,supervisor_behavior,dealing_w_older_colleagues,colleague_cohesion,environmental_social awareness,salary_benefits,career_training,work_life_balance,image,overall_number
35,eon,Oktober 2021,Super Arbeitgeber in der Region,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
36,covestro-deutschland3,April 2019,Toller Arbeitgeber mit Herz,recommended,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,1
37,delivery-hero,Februar 2020,Chaos on all levels,not_recommended,4.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,0
38,deutsche-post,Mai 2022,Effizienz wird nur an der Basis praktiziert...,not_recommended,3.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0
39,merckaa,Januar 2021,Top Arbeitgeber mit sehr guten Mitarbeiterkonditionen,recommended,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,1
40,siemens,März 2022,Nur als Mitglied der Schafskopfrunde kommt man in der IT weiter,not_recommended,5.0,5.0,1.0,,1.0,,5.0,,3.0,1.0,1.0,1.0,0
41,qiagen,November 2018,Ein Top Arbeitgeber sieht für mich anders aus,not_recommended,3.0,2.0,4.0,1.0,3.0,5.0,3.0,,2.0,2.0,2.0,3.0,0
42,eon,März 2021,Sehr guter Arbeitgeber,recommended,5.0,4.0,4.0,5.0,5.0,5.0,,5.0,4.0,5.0,4.0,5.0,1
43,siemens,Februar 2022,IT Security Professional,not_recommended,3.0,5.0,1.0,4.0,3.0,5.0,5.0,5.0,2.0,5.0,4.0,3.0,0
44,daimler-truck3,Januar 2022,Global orientierte Entwicklungsmannschaft mit innovativen Projekten,recommended,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,1
45,deutsche-bank,Januar 2021,Guter Arbeitgeber mit Schwachstellen in Kommunikation und proaktiver Weiterentwicklung von Mitarbeitern.,recommended,5.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,3.0,3.0,1
46,airbus,Februar 2022,Beruf in der Produktion,recommended,3.0,4.0,2.0,4.0,2.0,3.0,5.0,3.0,5.0,3.0,3.0,4.0,1
47,deutsche-bank,Mai 2022,Arbeitgeber nicht weiter zu empfehlen,not_recommended,,,,,,,,,,,,,0
48,deutsche-telekom,März 2022,Telekom gleich flexibel,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
49,henkel-aa,September 2020,Tolle Zeit mit tollen Leuten,recommended,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,1
50,linde,Juli 2021,Top Konditionen in super Umfeld,recommended,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,1
51,deutsche-bank,April 2021,Hier gibt es noch sehr deutliche Defizite!,not_recommended,1.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,0
52,mercedes-benz-group,Januar 2022,Top Arbeitgeber - wertschätzende Firmenkultur,recommended,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,1
53,pumagroup,Mai 2022,Sehr gutes und lockeres Arbeitsklima. Innovativ und jung mit kleineren Makeln,recommended,3.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,5.0,1
54,pumagroup,Juni 2019,Praktikum mit hohem Level an Eigenverantwortung und selbstständigem Arbeiten,recommended,4.0,4.0,5.0,3.0,5.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,1
55,fresenius-medical-care,September 2019,Nichts wie weg,not_recommended,3.0,3.0,1.0,1.0,1.0,3.0,4.0,,3.0,1.0,1.0,3.0,0
56,continental-gruppe,März 2022,"Nette Kollegen, gutes Gehalt & viel Freiheit",recommended,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,1
57,volkswagen,Februar 2022,"Wer ein ruhiges Praktikum sucht, ist hier richtig. Wer gefordert werden will, nicht.",recommended,4.0,5.0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,1
58,siemens,April 2022,Volle Diskrimmerung,not_recommended,1.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,,0
59,rwe,Januar 2020,10+ Jahre im Unternehmen - Keine Wertschätzung,not_recommended,5.0,1.0,1.0,1.0,5.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,0
60,brenntag,Juli 2017,"Brenntag AG, 3.7 von 5",recommended,4.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,1
61,sartorius,Januar 2022,Mobbing Lästern wird hier ganz groß geschrieben,not_recommended,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,0
62,volkswagen,Juli 2021,Der beste Arbeitgeber,recommended,,,,,,,,,,,,,1
63,sartorius,April 2021,Hervorragend. Zusätzliche Überstunden auf das zeitkonto gebucht bekommen für die Kinderbetreuung während des Lockdown,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
64,vonovia-se,März 2022,Personalabteilung schafft sich ab,not_recommended,1.0,2.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0
65,henkel-aa,Dezember 2021,Ich hätte besser behandelt werden soll und habe kaum etwas gelernt.,recommended,3.0,4.0,3.0,3.0,4.0,2.0,2.0,2.0,,2.0,4.0,5.0,1
66,deutsche-post,April 2022,Kaum Vollzeitstellen oder Aufstiegschancen,not_recommended,1.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,3.0,0
67,qiagen,Juli 2017,"QIAGEN GmbH, 3.1 von 5",recommended,4.0,3.0,3.0,4.0,4.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,1
68,fresenius-se,Dezember 2019,"Tolles Unternehmen, jedoch Standort abhängig!",recommended,4.0,4.0,1.0,2.0,3.0,4.0,2.0,4.0,3.0,5.0,4.0,5.0,1
69,merckaa,Januar 2022,Meine Bewertung,recommended,4.0,2.0,5.0,5.0,4.0,5.0,1.0,3.0,5.0,3.0,5.0,4.0,1
70,adidas,Juli 2020,Radikaler Profitfokus verhindert das Entstehen eines Deutschen Industrie Role-Models,not_recommended,5.0,2.0,2.0,4.0,1.0,1.0,4.0,4.0,3.0,1.0,1.0,2.0,0
71,symrise,Dezember 2017,Top Firma mit guten Sozialleistungen und Löhne,recommended,5.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,5.0,3.0,3.0,5.0,1
72,merckaa,April 2021,Familienfreundlich - sofern das Mittelmanagement das vorlebt !,recommended,5.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,1
73,fresenius-se,Oktober 2021,Guter Arbeitgeber.,recommended,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,,5.0,1
74,eon,Dezember 2020,Supply Chain bei E.ON,not_recommended,4.0,5.0,1.0,4.0,1.0,3.0,2.0,,4.0,3.0,2.0,3.0,0
75,covestro-deutschland3,Mai 2020,So lala,not_recommended,1.0,3.0,1.0,2.0,5.0,5.0,3.0,3.0,1.0,2.0,3.0,3.0,0
76,continental-gruppe,März 2022,"Gutes Unternehmen, alte Strukturen",not_recommended,3.0,5.0,2.0,3.0,2.0,5.0,5.0,,4.0,1.0,5.0,3.0,0
77,mtuaeroengines,März 2022,Außen Hui - Innen Pfui,not_recommended,2.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,0
78,infineon-technologies,Dezember 2021,It's a very nice experience to work in such a big company.,recommended,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,4.0,1
79,rwe,April 2020,Passt!,recommended,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,1
80,eon,September 2021,Bester Werkstudentenjob ever,recommended,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,,5.0,5.0,1
81,pumagroup,Februar 2022,"Führung Fehlanzeige, Überstunden Standard",not_recommended,1.0,1.0,1.0,1.0,4.0,,2.0,4.0,2.0,2.0,2.0,3.0,0
82,qiagen,Februar 2019,Ehemals toller Arbeitgeber. Personalabteilung geht unter neuer Bereichsleitung den Bach runter.,not_recommended,1.0,1.0,1.0,1.0,3.0,5.0,3.0,2.0,1.0,1.0,4.0,1.0,0
83,daimler-truck3,Januar 2022,ABM1,recommended,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,1
84,infineon-technologies,Dezember 2021,Bis auf Kleinigkeiten bin ich total zufrieden.,recommended,2.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,5.0,4.0,1
85,sartorius,Juni 2020,Top Arbeitgeber! Es gibt immer Dinge die besser gehen aber hier sind das schon sehr wenige.,recommended,5.0,5.0,3.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,1
86,merckaa,September 2021,Großartiger Arbeitgeber,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
87,qiagen,Juli 2019,Marketing,not_recommended,1.0,3.0,2.0,2.0,1.0,3.0,4.0,3.0,3.0,4.0,2.0,4.0,0
88,eon,Dezember 2021,Top Arbeitgeber,recommended,5.0,4.0,4.0,3.0,5.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,1
89,porsche-gruppe,Dezember 2021,"Nicht zu viel gelernt, dafür guten Einblick in den Entwicklungsprozess und das Arbeitsleben",recommended,3.0,4.0,5.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,1
90,sap,April 2022,Prima gegenüber früher,recommended,2.0,2.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,4.0,4.0,5.0,1
91,merckaa,Januar 2022,Starkes Unternehmen - Schwache Führung(skultur),not_recommended,2.0,5.0,2.0,4.0,1.0,,2.0,5.0,3.0,2.0,4.0,4.0,0
92,bmwgroup,Januar 2022,Ein sehr guter Arbeitgeber,recommended,,,,,,,,,,,,,1
93,sartorius,Januar 2021,"Firma mit Potential, Zukunft im Umbruch",recommended,2.0,4.0,4.0,4.0,5.0,,3.0,4.0,3.0,2.0,3.0,4.0,1
94,infineon-technologies,Dezember 2021,"Gut: 3,7 von 5 Sternen",not_recommended,2.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,5.0,2.0,0
95,basf-se,Oktober 2021,Idealer Berufseinstieg,recommended,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,,4.0,1
96,mtuaeroengines,März 2022,"Abwechslungsreiche und Entspannte Arbeit. Arbeitsmenge Schwankend, mal zu viel, mal zu wenig oder nichts",recommended,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,1
97,sartorius,Oktober 2020,"Furchtbar, einfach furchtbar!",not_recommended,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
98,basf-se,Dezember 2021,Mittlerweile Mittelmaß,recommended,5.0,5.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,2.0,3.0,1
99,bayer,Januar 2022,"Sehr gute Bezahlung, gute Sozialleistungen, aber schlechte Kommunikation bei Abteilungsumstrukturierungen",recommended,4.0,5.0,2.0,5.0,5.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0,1
100,volkswagen,September 2021,Ein toller Arbeitgeber! Einwenig Verbesserungsbedarf gibt es jedoch.,recommended,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,4.0,5.0,1
101,continental-gruppe,Dezember 2021,Super Ausbildung Continental,recommended,,,,,,,,,,,,,1
102,qiagen,April 2022,Unternehmenserlebnis ist ambivalent,not_recommended,4.0,4.0,3.0,4.0,3.0,5.0,4.0,3.0,2.0,2.0,5.0,3.0,0
103,adidas,August 2020,exceeded my expectations regarding my position in the team but overall suffered from corona consequences,recommended,5.0,3.0,2.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,1
104,volkswagen,November 2021,Ein Traum für jeden Praktikanten!,recommended,5.0,5.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1
105,continental-gruppe,Dezember 2021,"Vertrauensvolle gute Zusammenarbeit, immer neue Herausforderungen",recommended,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,1
106,bayer,Dezember 2021,"Bayer ist ein sehr guter Betrieb, bei dem man sich als Praktikant sehr gut aufgehoben fühlt.",recommended,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,1
107,vonovia-se,Oktober 2021,Leistung wird nicht gewürdigt,not_recommended,5.0,4.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,0
108,eon,August 2021,Überwiegend Positiv,recommended,4.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0,1
109,deutsche-post,April 2022,Post Filialmitarbeiter,recommended,3.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,5.0,,4.0,1
110,hellofresh,Oktober 2018,Herausragendes Onboarding kombiniert mit ehrlichen und herzlichen Mitarbeitern im Team!,recommended,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,1
111,continental-gruppe,Dezember 2021,Altbackene Strukturen und Prozesse - Mitarbeiter sind Ressource - Fachlich herausragende Kollegen,not_recommended,2.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,0
112,vonovia-se,Oktober 2021,Buchhaltung,recommended,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,1
113,fresenius-medical-care,November 2020,aktueller Stand,recommended,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,1
114,sartorius,November 2021,"Corona Konzept mangelhaft, extreme Belastungen",not_recommended,3.0,3.0,2.0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,0
115,rwe,März 2020,"Super Einstieg in die Berufswelt, toller Arbeitgeber!",recommended,5.0,5.0,3.0,5.0,5.0,4.0,3.0,4.0,4.0,5.0,,5.0,1
116,siemens,April 2022,Seit über 30 Jahren dabei bleibe auch,recommended,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
117,fresenius-medical-care,Mai 2021,Alles super,recommended,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,,5.0,5.0,5.0,1
118,mtuaeroengines,März 2022,Gute Firma,recommended,4.0,3.0,3.0,4.0,1.0,4.0,2.0,5.0,4.0,3.0,3.0,5.0,1
119,adidas,Juli 2020,satisfied,recommended,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,1
120,infineon-technologies,Januar 2022,Sehr gut wären da nicht teilweise Abteilungskämpfe,recommended,5.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,1
121,zalando,September 2021,alles gut - es gibt deutlich schlechtere Firmen,recommended,4.0,4.0,4.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,1
122,siemens,April 2022,Führungskraft Service Management,recommended,4.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,5.0,3.0,1
123,airbus,Dezember 2021,Qualität des Praktikum hat duch fehlende Führungskompetenzen gelitten,not_recommended,3.0,3.0,2.0,4.0,1.0,3.0,2.0,4.0,4.0,1.0,3.0,2.0,0
124,symrise,April 2021,Bei 40 Stunden/Woche bleibt nicht viel Zeit für Familie,recommended,4.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,2.0,5.0,1
125,covestro-deutschland3,Dezember 2021,Eine tolle Zeit mit vielen guten Erfahrungen,recommended,5.0,2.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
126,symrise,November 2020,Ein Unternehmen mit vielseitigen Karrieremöglichkeiten in einer interessanten Branche,recommended,4.0,3.0,3.0,3.0,3.0,4.0,5.0,3.0,4.0,4.0,3.0,3.0,1
127,daimler-truck3,Oktober 2021,"Tolle Menschen, schlechte Entscheidungsprozesse",not_recommended,2.0,3.0,2.0,5.0,3.0,5.0,4.0,5.0,3.0,2.0,3.0,3.0,0
128,sartorius,Juni 2020,Schade,not_recommended,2.0,1.0,1.0,1.0,2.0,4.0,1.0,3.0,1.0,4.0,1.0,1.0,0
129,sartorius,Mai 2020,"Chaos, incompetent leaders, dirty",not_recommended,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
130,fresenius-medical-care,April 2021,Entwickelt sich rasch in ein modernen Weltkonzern,recommended,4.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,2.0,2.0,4.0,1
131,eon,November 2020,Es hat mir sehr geholfen mich selbst weiterzuentwickeln,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,1
132,linde,März 2020,"Betriebsleitung ist eine große Katastrophe!
Keine Absprachen untereinander jeder sagt was anderes.",not_recommended,2.0,2.0,1.0,2.0,1.0,2.0,3.0,,2.0,,,,0
133,deutsche-post,April 2022,In Summe ein top Arbeitgeber!,recommended,5.0,4.0,5.0,3.0,5.0,5.0,4.0,4.0,5.0,5.0,,4.0,1
134,bmwgroup,April 2022,Katastrophale Führungskräfte,not_recommended,4.0,1.0,1.0,1.0,1.0,4.0,5.0,4.0,4.0,1.0,1.0,1.0,0
135,delivery-hero,Oktober 2021,Kann man empfehlen,recommended,4.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,1
136,siemens,April 2022,Familienfreundlichkeit ist gegeben!,recommended,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,1
137,porsche-gruppe,Februar 2022,Nicht Nette Mitarbeiter,not_recommended,3.0,3.0,2.0,2.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,3.0,0
138,deutsche-telekom,März 2022,"DTT noch ok im Vergleich, Tendenz sinkend",recommended,5.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,1
139,sap,April 2022,Genialer Arbeitgeber - alles ist möglich,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1
140,airbus,November 2021,Systemingenieur,not_recommended,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,0
141,brenntag,Februar 2021,Solider Arbeitgeber,recommended,5.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,1
142,merckaa,Januar 2020,"Allgemein ertragbares Klima mit wenig Zusammenhalt, jedoch einigen guten Chancen, wenn man Verbindungen hat.",recommended,2.0,3.0,4.0,2.0,5.0,2.0,3.0,4.0,4.0,3.0,4.0,3.0,1
143,deutsche-bank,April 2020,Flexible Reaktion,recommended,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,1
144,henkel-aa,Januar 2021,Guter Arbeitgeber,recommended,4.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,5.0,1
145,porsche-gruppe,September 2021,Traumarbeitgeber mit einigen Schwächen,recommended,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,1
146,sartorius,Dezember 2020,"Schlechtes Klima, unmotivierte Kollegen, unfähige Führungskräfte",not_recommended,2.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,0
147,pumagroup,Juni 2018,"Grundsätzlich top, aber noch immer zu sehr von einzelnen Personen abhängig.",recommended,4.0,3.0,4.0,4.0,2.0,2.0,3.0,4.0,3.0,4.0,,5.0,1
148,deutsche-telekom,April 2022,Sicherer Arbeitgeber,recommended,4.0,5.0,4.0,4.0,3.0,5.0,4.0,3.0,5.0,4.0,,3.0,1
149,deutsche-boerse,Juli 2019,spannend aber in Gefahr,recommended,5.0,5.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,5.0,1
150,siemens,April 2022,Beste Firma im Landkreis Marburg-Biedenkopf :-),recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
151,volkswagen,Dezember 2021,Top!,recommended,5.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,1
152,bayer,November 2021,Duales Studium Bachelor of Science Wirtschaftsinformatik,recommended,,,,,,,,,,,,,1
153,hannover-rueckversicherung,Januar 2020,Toller Arbeitgeber,recommended,5.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,1
