,Employer,Time,Comment,Overall,Interessante Aufgaben,Gleichberechtigung,Kommunikation,Arbeitsbedingungen,Vorgesetztenverhalten,Umgang mit älteren Kollegen,Kollegenzusammenhalt,Umwelt-/Sozialbewusstsein,Gehalt/Sozialleistungen,Karriere/Weiterbildung,Work-Life-Balance,Image,Arbeitsatmosphäre,Respekt,Variation,Spaßfaktor,Aufgaben/Tätigkeiten,Die Ausbilder,Ausbildungsvergütung,Arbeitszeiten,Karrierechancen,Arbeitgeber-Kommentar,Herausforderung,Arbeitgeber-Kommentare
65,adidas,April 2021,Gut mit Potenzial nach oben,Empfohlen,4.0,3.0,4.0,2.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,5.0,4.0,,,,,,,,,,,
66,adidas,April 2021,Flexible Arbeitszeiten aber keine Rücksicht auf Mütter,Empfohlen,5.0,4.0,5.0,5.0,5.0,3.0,3.0,4.0,4.0,5.0,3.0,5.0,5.0,,,,,,,,,,,
67,adidas,März 2021,Bewertung adidas AG,Nicht empfohlen,4.0,1.0,2.0,1.0,5.0,1.0,4.0,1.0,3.0,3.0,2.0,5.0,2.0,,,,,,,,,,,
68,adidas,November 2020,Im Großen und Ganzen bin ich sehr zufrieden,Nicht empfohlen,2.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,3.0,2.0,,,,,,,,,,,
69,adidas,Oktober 2020,Mehr Schein als Sein,Nicht empfohlen,2.0,2.0,3.0,2.0,3.0,1.0,4.0,3.0,2.0,2.0,3.0,4.0,3.0,,,,,,,,,,,
70,adidas,Oktober 2020,Mittlerweile leider mehr Schein als Sein,Nicht empfohlen,2.0,2.0,2.0,4.0,1.0,1.0,2.0,4.0,3.0,2.0,2.0,2.0,1.0,,,,,,,,,,,
71,adidas,September 2020,"Mitarbeiter, Know-How und Qualität scheinen hier nur noch eine sehr geringe Rolle zu spielen.",Nicht empfohlen,2.0,1.0,2.0,4.0,1.0,1.0,3.0,4.0,3.0,3.0,2.0,1.0,2.0,,,,,,,,,,,
72,adidas,September 2020,top,Empfohlen,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,,4.0,5.0,4.0,4.0,,,,,,,,,,,
73,adidas,September 2020,"Ein guter erster Einblick in die Berufswelt, durch den man seine eigenen Interessen aber auch Schwächen kennenlernt.",Empfohlen,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,,4.0,4.0,5.0,5.0,,,,,,,,,,,
74,adidas,August 2020,gut,Empfohlen,4.0,4.0,2.0,4.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,,,,,,,,,,,
75,adidas,August 2020,exceeded my expectations regarding my position in the team but overall suffered from corona consequences,Empfohlen,5.0,3.0,2.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,4.0,,,,,,,,,,,
76,adidas,August 2020,Trotz Corona top,Empfohlen,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,2.0,5.0,3.0,5.0,5.0,,,,,,,,,,,
77,adidas,August 2020,"i enjoyed working for adidas, everything was set up when i started and i was warmly greeted by the team",Empfohlen,3.0,5.0,2.0,2.0,3.0,5.0,4.0,5.0,4.0,2.0,5.0,2.0,5.0,,,,,,,,,,,
78,adidas,August 2020,The internship was below my level of expertise. It was 'sold' to me by telling about very interesting tasks,Empfohlen,2.0,3.0,3.0,1.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,1.0,5.0,,,,,,,,,,,
79,adidas,August 2020,"great learning opportunities, great team, great work place, but i dont identify fully with values",Empfohlen,4.0,3.0,4.0,4.0,5.0,2.0,5.0,1.0,4.0,5.0,4.0,5.0,4.0,,,,,,,,,,,
80,adidas,Juli 2020,Absolut nicht mehr das was es Mal war!,Nicht empfohlen,3.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,
81,adidas,Juli 2020,Das Praktikum in meinem Team würde ich zu hundert Prozent weiterempfehlen. Das Team ist offen und erklärt alles gut.,Empfohlen,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,,,,,,,,,,,
82,adidas,Juli 2020,satisfied,Empfohlen,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,,,,,,,,,,,
83,adidas,Juli 2020,even more interesting than i expected,Empfohlen,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,,,,,,,,,,,
84,adidas,Juli 2020,Radikaler Profitfokus verhindert das Entstehen eines Deutschen Industrie Role-Models,Nicht empfohlen,5.0,2.0,2.0,4.0,1.0,1.0,4.0,4.0,3.0,1.0,1.0,2.0,2.0,,,,,,,,,,,
85,adidas,Juli 2020,Good,Empfohlen,5.0,5.0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,,,,,,,,,,,
86,adidas,Juli 2020,"Despite Covid, decent opportunities for getting in contact. Excellent virtual onboarding, great efforts of the team",Empfohlen,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,1.0,4.0,5.0,4.0,5.0,,,,,,,,,,,
87,adidas,Juli 2020,amazing!,Empfohlen,5.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,5.0,,,,,,,,,,,
88,adidas,Juli 2020,"Overall it was a very good internship, the culture's really interesting. Due to Covid-19 I was not able to learn as much",Empfohlen,4.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,5.0,,,,,,,,,,,
89,adidas,Juli 2020,It was the best internship ever.,Empfohlen,5.0,5.0,2.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,,,,,,,,,,,
90,airbus,April 2022,Viel Unterstützung als Alleinerziehender,Empfohlen,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,,,,,,,,,,,
91,airbus,April 2022,Sehr guter Arbeitgeber,Empfohlen,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,,,,,,,,,,,
92,airbus,April 2022,"Prinzipientreuer Großkonzern, aber da, wenn es darauf ankommt.",Empfohlen,5.0,4.0,3.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,,,,,,,,,,,
93,airbus,April 2022,Airbus ist Airbus und Airbus Manching ist Airbus Manching...,Empfohlen,3.0,3.0,3.0,3.0,2.0,4.0,5.0,3.0,3.0,3.0,4.0,3.0,4.0,,,,,,,,,,,
94,airbus,April 2022,Wer hier mit den Händen arbeitet hat es schwer…sich zu entwickeln!!,Nicht empfohlen,2.0,3.0,1.0,2.0,1.0,3.0,4.0,1.0,3.0,1.0,2.0,4.0,2.0,,,,,,,,,,,
95,airbus,April 2022,Traum Arbeitsplatz,Empfohlen,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,
96,airbus,März 2022,Unternehmer mit riesiger Vielfalt,Empfohlen,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,,,,,,,,,,,
97,airbus,März 2022,Vielfältige Möglichkeiten,Empfohlen,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,,,,,,,,,,,
98,airbus,März 2022,Hervorragender Arbeitgeber in fast allen Punkten,Empfohlen,5.0,5.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,,,,,,,,,,,
99,airbus,Februar 2022,Das haben wir schon immer so gemacht...............,Nicht empfohlen,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,2.0,2.0,,,,,,,,,,,
100,airbus,Februar 2022,Bin zufrieden aber es geht auch besser...,Empfohlen,5.0,5.0,4.0,5.0,3.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,,,,,,,,,,,
101,airbus,Februar 2022,Beruf in der Produktion,Empfohlen,3.0,4.0,2.0,4.0,2.0,3.0,5.0,3.0,5.0,3.0,3.0,4.0,3.0,,,,,,,,,,,
102,airbus,Januar 2022,"Traumjob, wenn Netzwerken Dein Fall ist",Empfohlen,4.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,5.0,4.0,5.0,5.0,4.0,,,,,,,,,,,
103,airbus,Januar 2022,Na ja,Nicht empfohlen,2.0,3.0,1.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,,,,,,,,,,,
104,airbus,Januar 2022,Bester Arbeitgeber meines Lebens,Empfohlen,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,
105,airbus,Januar 2022,Top Arbeitgeber mit super Produkten,Empfohlen,5.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,5.0,3.0,3.0,5.0,4.0,,,,,,,,,,,
106,airbus,Januar 2022,"Strikte Konzernstruktur mit Chancen, diese zu durchbrechen…bei richtiger Abteilung und Teamleitung",Empfohlen,4.0,4.0,3.0,3.0,4.0,5.0,4.0,2.0,5.0,4.0,4.0,3.0,3.0,,,,,,,,,,,
107,airbus,Januar 2022,"Toleranter, bunter, internationaler AG mit hochinteressanten Aufgaben",Empfohlen,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,,,,,,,,,,,
108,airbus,Januar 2022,"Gute Arbeit, gutes Geld!",Empfohlen,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,,,,,,,,,,,
109,airbus,Januar 2022,Tolles Unternehmen mit vielseitigen Entwicklungsmöglichkeiten // Internationales Umfeld // Ausgezeichnete Benefits //,Empfohlen,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,3.0,5.0,,,,,,,,,,,
110,airbus,Dezember 2021,"Furchtbares Management, schlechte Organisation",Nicht empfohlen,3.0,1.0,3.0,4.0,4.0,4.0,3.0,1.0,5.0,,5.0,3.0,2.0,,,,,,,,,,,
111,airbus,Dezember 2021,kurz,Empfohlen,5.0,1.0,5.0,3.0,1.0,5.0,1.0,2.0,,4.0,1.0,1.0,3.0,,,,,,,,,,,
112,airbus,Dezember 2021,Schwierige Zeiten,Nicht empfohlen,2.0,4.0,1.0,1.0,2.0,,3.0,2.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,
113,airbus,Dezember 2021,Sehr hilfreich bei meiner Entwicklung,Empfohlen,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,,,,,,,,,,,
114,airbus,Dezember 2021,Willkommen in der IT-Steinzeit - 15 Jahre in der Zeit zurückgehen. (Airbus DS Bremen),Nicht empfohlen,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,,,,,,,,,,,
115,airbus,Dezember 2021,Es war gut und hat mir viel weitergeholfen mich fort zu bilden,Nicht empfohlen,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,2.0,,,,,,,,,,,
116,airbus,Dezember 2021,"Durchaus positiv, einige störenden Sachen",Nicht empfohlen,3.0,3.0,3.0,3.0,5.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,,,,,,,,,,,
117,airbus,Dezember 2021,Qualität des Praktikum hat duch fehlende Führungskompetenzen gelitten,Nicht empfohlen,3.0,3.0,2.0,4.0,1.0,3.0,2.0,4.0,4.0,1.0,3.0,2.0,2.0,,,,,,,,,,,
118,airbus,Dezember 2021,Viele Eindrücke von unterschiedlichen Themengebieten.,Empfohlen,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,,,,,,,,,,,
119,airbus,Dezember 2021,Sehr gut,Empfohlen,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,,,,,,,,,,,
120,airbus,November 2021,Systemingenieur,Nicht empfohlen,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,,,,,,,,,,,
121,airbus,November 2021,Customer Relationship Manager,Nicht empfohlen,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,3.0,1.0,,,,,,,,,,,
122,airbus,November 2021,"Nicht alles ist Gold, was glänzt.",Empfohlen,4.0,3.0,2.0,4.0,3.0,5.0,3.0,4.0,4.0,2.0,3.0,5.0,2.0,,,,,,,,,,,
123,airbus,November 2021,"Je nach Abteilung zwischen 1 und 5 Sterne. Gebäudeverwaltung Baumanagement, Instandhaltung und FM funktioniert nicht gut",Nicht empfohlen,5.0,2.0,1.0,1.0,1.0,4.0,5.0,1.0,3.0,1.0,3.0,1.0,1.0,,,,,,,,,,,
124,airbus,November 2021,Toller Arbeitgeber mit etwas Verbesserungspotential,Empfohlen,4.0,5.0,3.0,3.0,5.0,4.0,3.0,5.0,3.0,4.0,4.0,4.0,4.0,,,,,,,,,,,
125,airbus,November 2021,Internationales Unternehmen,Empfohlen,,,,,,,,,,,,,4.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,4.0,,,
126,airbus,November 2021,Großkonzern mit viel Verbesserungspotenzial,Nicht empfohlen,4.0,3.0,4.0,4.0,2.0,5.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,,,,,,,,,,,
127,airbus,Oktober 2021,"Alles in allem ein guter Betrieb die Ausbildung ist zwar ausbaufähig, allerdings jetzt nicht schlecht",Empfohlen,,,,,,,,,,,,,5.0,5.0,5.0,4.0,3.0,2.0,5.0,5.0,3.0,,,
